elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.150134007	0	.7	4.1
1.315639007	0	20.8	4.1
2.479858087	0	169.7	4.1
4.407746434	0	297.7	326.6
6.468668718	0	521.0	254.4
8.390017375	0	533.1	474.1
10.398407086	0	576.2	474.4
12.326656173	0	407.6	381.8
14.388306023	0	623.9	474.6
16.309339548	0	632.4	93.9
18.359709868	0	652.3	475.0
20.428789508	0	679.8	475.1
22.461400097	0	686.4	475.1
24.364327167	0	601.2	457.0
26.404573278	0	729.7	474.3
28.381351508	0	738.2	474.4
30.314693470	0	739.8	112.6
32.352712235	0	786.8	475.6
34.320849710	0	797.3	60.7
36.378855308	0	823.4	476.2
38.404276102	0	849.2	94.5
40.321491133	0	860.3	476.1
42.388544004	0	781.1	706.4
44.513073551	0	245.1	714.2
46.297509789	0	92.9	723.5
48.099067727	0	98.2	724.7
