elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.133965535	.7	0	4.0
1.294622658	304.2	0	4.0
2.458638307	958.9	0	4.0
3.605174566	1374.3	0	4.0
4.770358639	1905.3	0	547.2
6.419874186	2052.1	0	633.9
8.096738467	2229.4	0	647.2
9.800009132	2297.6	0	649.9
11.488456808	2317.1	0	653.7
13.210664640	2250.1	0	291.5
14.934685319	2212.0	0	291.5
16.607825769	2144.6	0	292.7
18.244602675	2104.3	0	293.6
19.762151733	2059.8	0	294.3
21.245152444	2020.3	0	296.4
22.707280018	2003.7	0	296.4
24.155635190	1995.7	0	296.4
25.515858675	1977.4	0	296.4
26.879774898	1948.6	0	296.5
28.147588971	1931.8	0	296.6
