elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.136095831	.8	0	4.1
1.289802180	20.5	0	4.1
2.452439840	169.2	0	4.1
3.741194985	297.2	0	4.3
5.408463269	469.8	0	374.9
7.077039785	504.5	0	395.0
8.753018137	516.3	0	271.5
10.422785402	495.2	0	396.8
12.127079562	551.8	0	397.1
13.671323397	558.7	0	397.2
15.347251112	573.7	0	55.3
17.039380419	577.8	0	397.1
18.661141035	613.3	0	397.3
20.266108237	620.1	0	397.3
21.913003722	626.0	0	397.4
23.573962640	503.4	0	55.5
25.258102589	640.9	0	397.8
26.960631602	661.5	0	397.8
28.581657300	668.3	0	397.9
30.120222756	668.3	0	397.9
31.692637474	669.3	0	397.9
33.331495985	681.0	0	397.9
34.976553960	681.0	0	397.9
36.609478019	681.9	0	397.9
38.249018771	681.9	0	397.9
39.938507224	681.9	0	397.9
41.609428950	516.7	0	55.7
43.319820733	686.2	0	397.0
45.060190631	707.6	0	397.1
46.735919376	726.9	0	397.2
48.382557618	732.7	0	397.2
50.100845103	739.0	0	55.7
51.808642713	742.6	0	398.1
53.517804628	768.1	0	398.2
55.166480817	791.0	0	398.3
56.850429772	710.5	0	215.9
58.501822012	818.1	0	398.7
60.113945413	839.3	0	398.9
61.748987110	844.5	0	398.9
63.389121013	844.5	0	398.9
65.090599005	850.0	0	56.0
66.781228976	851.1	0	398.7
68.415910279	892.5	0	398.8
70.061584967	900.4	0	398.8
71.770164332	385.7	0	273.4
73.476028177	339.7	0	273.5
75.173410205	293.5	0	274.5
76.779722786	242.7	0	275.4
78.300545396	198.6	0	276.1
79.773576344	155.9	0	278.5
81.229843724	153.5	0	278.6
82.642886807	131.5	0	278.6
84.012939999	113.0	0	278.6
85.394061099	87.1	0	278.7
86.693778308	71.8	0	278.7
