elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.137646929	1.7	0	4.2
1.284775009	91.8	0	4.2
2.434498581	182.4	0	4.2
3.610451687	274.8	0	4.2
4.761201221	368.4	0	4.2
5.925719404	457.0	0	4.2
7.087214372	542.9	0	4.2
8.259182958	634.6	0	4.2
9.426916506	723.2	0	4.2
10.593515235	789.1	0	4.2
11.748828704	789.1	0	4.2
12.910852610	789.1	0	4.2
14.070668746	789.1	0	4.2
15.216928349	1620.1	0	4.2
16.381478458	2645.6	0	4.2
17.547312592	3607.5	0	4.2
18.710815415	4747.1	0	4.2
19.861333868	5707.4	0	4.2
21.009709201	6623.2	0	4.2
22.155618271	7479.4	0	4.2
23.304832594	8806.8	0	4.2
24.447561599	9420.9	0	4.2
25.587669168	10538.7	0	4.2
26.732745742	11529.5	0	4.2
27.876174807	12472.4	0	4.2
29.018351731	13417.2	0	4.2
30.164711295	14391.2	0	4.2
31.309388051	15396.1	0	4.2
32.451098734	16388.3	0	4.2
33.593175627	17449.6	0	4.2
34.736371203	18564.6	0	4.2
35.878759037	19652.4	0	4.2
37.023068728	20695.3	0	4.2
38.167781770	21914.0	0	4.2
39.311892423	23009.1	0	4.2
40.457031639	24133.6	0	4.2
41.598858575	24965.7	0	4.2
42.749623421	26091.7	0	4.2
43.897528346	27103.8	0	4.2
45.045151758	27857.7	0	4.2
46.190498401	28829.9	0	4.2
47.333385341	29978.7	0	4.2
48.475527061	30975.3	0	4.2
49.618243635	31905.3	0	4.2
50.763448637	32901.0	0	4.2
51.903197852	33413.3	0	4.2
53.052722370	34102.4	0	4.2
54.205250747	34192.2	0	4.2
55.354371414	34280.9	0	4.2
56.505388210	34370.4	0	4.2
57.655434961	34463.2	0	4.2
58.805406963	34555.8	0	4.2
59.952373113	34647.9	0	4.2
61.103462783	34740.9	0	4.2
62.260644318	34844.4	0	4.2
63.413898604	34844.4	0	4.2
64.564180788	34844.4	0	4.2
65.714142840	34844.4	0	4.2
66.873416507	34844.4	0	4.2
68.033980410	34844.4	0	4.2
69.189857801	35797.6	0	4.2
70.335647740	36783.3	0	4.2
71.480937413	37742.1	0	4.2
72.624297434	38723.6	0	4.2
73.774854151	39654.6	0	4.2
74.925488343	40605.7	0	4.2
76.082410915	41571.9	0	4.2
77.245231027	42528.9	0	4.2
78.400469625	43259.1	0	4.2
79.551706583	44141.8	0	4.2
80.692762817	44935.7	0	4.2
81.837992152	45709.0	0	4.2
82.979871728	46668.9	0	4.2
84.125451997	47513.3	0	4.2
85.267575837	48389.2	0	4.2
86.421383394	49311.6	0	4.2
87.577878425	50232.8	0	4.2
88.727334372	51234.0	0	4.2
89.885121614	52151.2	0	4.2
91.043226906	53139.1	0	4.2
92.198116202	54061.7	0	4.2
93.348089914	55046.7	0	4.2
94.506679456	56004.5	0	4.2
95.670985768	56980.0	0	4.2
96.818191600	57931.9	0	4.2
97.969580873	58883.8	0	4.2
99.121986899	59834.6	0	4.2
100.302720047	60782.0	0	4.2
101.463078076	61767.5	0	4.2
102.634915430	62756.2	0	4.2
103.795595644	63736.1	0	4.2
104.959890687	64608.5	0	4.2
106.122578806	64695.1	0	4.2
107.280802847	65758.0	0	4.2
116.637834166	74307.3	0	9775.0
125.837912975	71409.8	0	17235.4
134.658927886	68968.0	0	14547.3
143.857398662	68600.9	0	11086.3
153.227293052	68612.1	0	11086.3
162.620457620	68636.3	0	10931.6
172.130441867	68643.9	0	10931.6
181.557022109	68654.8	0	10931.6
191.026950576	68677.7	0	10764.1
198.751904401	68708.0	0	10709.0
205.987067264	68708.0	0	10709.0
213.989254495	68708.0	0	10709.0
222.665235072	68708.0	0	10709.0
231.915486922	68708.0	0	10709.0
239.661329167	68711.4	0	10709.0
247.977013485	68674.5	0	10069.8
256.473950002	68603.0	0	10069.8
264.915748020	68561.3	0	10604.0
273.294811032	68520.5	0	10141.1
281.710648820	68508.0	0	11044.7
289.661505401	68467.1	0	10256.7
298.433887158	68433.2	0	12087.4
305.980225036	68340.3	0	10247.5
314.154168612	68328.0	0	10090.9
322.541586915	68257.4	0	10205.6
330.434688005	68179.4	0	10090.7
