elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.136100209	0	1.6	4.2
1.285625703	0	94.5	4.2
2.449643204	0	189.8	4.2
3.609279034	0	286.2	4.2
4.764035843	0	381.0	4.2
5.916115133	0	473.8	4.2
7.067960409	0	560.5	4.2
8.220066813	0	653.6	4.2
9.367207414	0	743.7	4.2
10.527367415	0	789.1	4.2
11.675215304	0	789.1	4.2
12.835477010	0	789.3	4.2
13.985671748	0	789.3	4.2
15.146599840	0	789.3	4.2
16.308029794	0	789.3	4.2
17.466009425	0	789.3	4.2
18.622898908	0	789.3	4.2
19.768774514	0	789.3	4.2
20.935683821	0	789.3	4.2
22.100503358	0	789.3	4.2
23.253303203	0	789.3	4.2
24.406231161	0	789.3	4.2
25.570292373	0	789.3	4.2
26.719442985	0	789.3	4.2
27.876227504	0	789.3	4.2
29.029561780	0	789.3	4.2
30.202644680	0	789.3	4.2
31.369311232	0	789.3	4.2
32.526746073	0	789.3	4.2
33.685780146	0	789.3	4.2
34.853467946	0	789.3	4.2
36.017622460	0	789.3	4.2
37.183248945	0	940.9	4.2
38.351829658	0	1036.5	4.2
39.521063456	0	1131.1	4.2
40.692628191	0	1225.6	4.2
41.862004557	0	1319.2	4.2
43.033308662	0	1412.7	4.2
44.199540504	0	1507.0	4.2
45.367816348	0	1601.1	4.2
46.533220190	0	1701.4	4.2
47.698927291	0	1701.4	4.2
48.861962215	0	1701.4	4.2
50.026747345	0	1701.4	4.2
51.186014623	0	1701.7	4.2
52.346701652	0	1701.7	4.2
53.507261162	0	1701.7	4.2
54.664470101	0	1701.7	4.2
55.816130570	0	1701.7	4.2
56.972663264	0	1701.7	4.2
58.124587014	0	1701.7	4.2
59.290196634	0	1701.7	4.2
60.448559542	0	1701.7	4.2
61.602308267	0	1701.7	4.2
62.766275866	0	1701.7	4.2
63.926264574	0	1701.7	4.2
65.089161680	0	1701.7	4.2
66.244950596	0	1701.7	4.2
67.405605676	0	1701.7	4.2
68.567127457	0	1701.7	4.2
69.714735351	0	1701.7	4.2
70.874599369	0	1701.7	4.2
72.021450516	0	1701.7	4.2
73.170725353	0	1701.7	4.2
74.334485213	0	1701.7	4.2
75.492877037	0	1701.7	4.2
76.656533912	0	1701.7	4.2
86.142364638	0	1829.7	5.5
95.495089183	0	8496.8	5.5
104.769284078	0	16159.2	600.4
114.135926987	0	7320.4	600.4
123.505267522	0	14408.1	1175.1
133.094400473	0	23055.0	627.6
142.687204716	0	15221.5	627.6
151.847929211	0	24230.5	640.2
161.444105389	0	14802.8	640.2
170.950931730	0	20969.6	640.2
180.215106581	0	28079.0	9775.0
189.164913001	0	7795.1	10753.7
197.884172266	0	5084.9	10165.0
206.268006481	0	4415.9	11093.1
215.724635837	0	4422.0	11093.9
224.970887037	0	4447.7	10936.9
234.416529378	0	4457.3	10936.9
243.880921828	0	4464.9	10936.9
253.315484318	0	4485.1	10750.9
262.737252954	0	4511.7	10716.0
272.150011849	0	4523.2	10716.0
281.580330276	0	4523.2	10716.0
290.007323982	0	4523.2	10716.0
299.456725556	0	4523.2	10716.0
308.997826600	0	4530.4	10721.4
317.836858421	0	4427.0	10077.3
326.927852670	0	4415.1	16211.1
334.808101069	0	4332.6	10617.9
343.693937270	0	4338.0	10148.3
351.658308109	0	4282.3	10343.5
359.996291548	0	4291.5	15330.9
368.051438485	0	4164.2	10713.5
376.472327995	0	4158.7	10249.8
385.012278391	0	4083.1	10206.4
393.363308080	0	4023.0	11020.7
401.329033237	0	3938.1	11288.8
408.852566167	0	3861.6	14991.3
415.934257173	0	3788.2	11660.8
422.662880078	0	3711.0	10961.0
428.546365041	0	3637.5	16762.0
433.674137698	0	3603.3	10250.1
438.883193499	0	3194.2	17821.6
444.162232842	0	2682.6	16794.2
448.898426074	0	2478.1	11592.3
453.653517724	0	2455.9	11114.3
458.780061769	0	2467.3	10402.6
463.835536131	0	2476.6	10402.6
468.879892793	0	2485.3	10216.3
473.885879773	0	2495.8	10251.0
478.807822292	0	2455.3	10568.3
