elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.136986399	1.6	0	4.2
1.286651785	94.0	0	4.2
2.449429674	189.0	0	4.2
3.616651572	285.4	0	4.2
4.784643768	381.2	0	4.2
5.953568628	475.8	0	4.2
7.121618837	564.5	0	4.2
8.285530483	658.7	0	4.2
9.454306565	751.0	0	4.2
10.603887401	789.1	0	4.2
11.752575255	789.1	0	4.2
12.900352498	789.1	0	4.2
14.075004223	789.1	0	4.2
15.242549028	789.1	0	4.2
16.399648532	789.1	0	4.2
17.553566281	789.1	0	4.2
18.716806092	789.1	0	4.2
19.871504088	789.1	0	4.2
21.042672269	789.1	0	4.2
22.203951528	789.1	0	4.2
23.361043975	789.1	0	4.2
24.520971060	789.1	0	4.2
25.673374390	789.1	0	4.2
26.827228812	789.1	0	4.2
27.996431839	789.1	0	4.2
29.153383190	789.1	0	4.2
30.317118415	789.1	0	4.2
31.465794122	789.1	0	4.2
32.615520885	789.1	0	4.2
33.772837866	789.1	0	4.2
34.932578919	789.1	0	4.2
36.095365944	789.1	0	4.2
37.258820507	920.8	0	4.2
38.425824933	1017.0	0	4.2
39.593429066	1111.0	0	4.2
40.762513592	1205.2	0	4.2
41.927429036	1297.5	0	4.2
43.091819126	1389.8	0	4.2
44.258299401	1481.5	0	4.2
45.427067314	1574.2	0	4.2
46.593496269	1673.9	0	4.2
47.752939990	1701.2	0	4.2
48.912568899	1701.2	0	4.2
50.072889448	1701.2	0	4.2
51.238287058	1701.2	0	4.2
52.403402008	1701.2	0	4.2
53.559942004	1701.2	0	4.2
54.716107978	1701.2	0	4.2
55.879777219	1701.2	0	4.2
57.036822562	1701.2	0	4.2
58.195435041	1701.2	0	4.2
59.362392011	1701.2	0	4.2
60.517970235	1701.2	0	4.2
61.680043716	1701.2	0	4.2
62.838800742	1701.2	0	4.2
63.998205065	1701.2	0	4.2
65.146922856	1701.2	0	4.2
66.299196748	1701.2	0	4.2
67.454169778	1701.2	0	4.2
68.618657191	1701.2	0	4.2
69.776224172	1701.2	0	4.2
70.943252986	1701.2	0	4.2
72.100176517	1701.2	0	4.2
73.249052614	1701.2	0	4.2
74.395936579	1701.2	0	4.2
75.557973765	1701.2	0	4.2
76.716984880	1701.2	0	4.2
77.886491647	1701.2	0	4.2
87.092133552	1829.2	0	5.5
96.166986891	5421.4	0	5.5
105.333407494	9245.6	0	398.1
114.429422326	5044.6	0	398.1
123.595923061	8864.8	0	415.5
132.713633401	5535.5	0	415.5
142.064284411	9231.0	0	930.9
150.727233012	7394.2	0	428.1
159.626761820	10982.9	0	428.1
168.414629082	14793.4	0	439.8
177.238653614	10146.9	0	439.8
186.343831402	13398.5	0	446.7
195.301303915	11133.7	0	446.7
204.241385721	14703.9	0	446.7
212.976408239	19672.9	0	448.2
221.812813066	15344.5	0	448.2
230.910733918	18736.6	0	449.3
240.035284568	14833.7	0	449.3
248.930911207	18433.7	0	449.3
257.559784149	18789.4	0	18793.6
266.595562407	6964.9	0	13755.0
275.540545980	4690.5	0	11093.7
285.074695852	4416.8	0	11093.9
294.182875356	4430.8	0	11102.3
303.038206858	4452.6	0	10941.2
311.867439251	4459.6	0	10941.2
320.760615421	4469.5	0	10941.2
329.717296681	4491.0	0	10774.0
338.607528451	4523.1	0	10718.9
347.556538182	4523.2	0	10718.9
356.430955545	4523.2	0	10718.9
365.311262342	4523.2	0	10718.9
374.244898347	4523.2	0	10718.9
383.117686103	4529.6	0	10718.9
392.065168563	4439.4	0	10080.0
401.070853046	4418.2	0	10080.0
409.336228347	4332.6	0	10620.1
418.170639057	4337.7	0	10150.2
426.478947799	4286.5	0	10349.9
435.322792075	4289.1	0	16891.4
443.549046789	4163.8	0	10729.5
452.179836282	4158.7	0	10265.8
459.992834995	4084.7	0	10460.2
467.959108244	4041.8	0	10266.6
475.468966467	3948.5	0	10266.4
482.558276730	3888.1	0	15251.7
489.571212388	3811.1	0	10203.3
495.964328225	3744.7	0	10735.4
501.835420347	3665.8	0	10159.1
507.528239212	3605.5	0	10977.6
513.234908731	3323.2	0	19518.6
518.622004274	2785.9	0	10034.4
523.604434115	2490.2	0	11848.1
528.786742035	2456.1	0	11131.4
533.621880799	2467.6	0	10418.9
538.630986978	2476.4	0	10418.9
543.672309896	2485.5	0	10418.9
548.772632555	2495.7	0	10260.3
553.670788311	2454.4	0	10577.7
558.293171142	2440.2	0	10577.7
562.973634777	2442.0	0	10577.8
567.694524873	2449.6	0	10577.8
572.444707250	2464.6	0	10591.4
577.112904972	2466.1	0	10591.4
581.500159979	2467.5	0	10591.4
585.942804582	2468.9	0	10591.4
590.295869358	2470.2	0	10591.5
594.809889975	2476.3	0	10591.5
599.141107806	2483.5	0	10591.5
603.530374054	2490.2	0	10601.6
607.685674899	2504.7	0	10453.7
611.777613300	2511.3	0	10453.7
615.907250301	2517.1	0	10453.7
620.364315666	2522.5	0	12124.5
625.001747076	2520.1	0	10361.4
629.629934783	2520.4	0	10264.2
634.241413388	2520.4	0	10264.2
638.839053050	2520.4	0	10264.2
643.461841491	2520.5	0	10264.2
648.156477180	2521.9	0	10264.2
652.789065249	2523.4	0	10264.2
657.420293532	2524.8	0	10264.2
662.292061633	2498.9	0	10796.7
667.138815504	2493.5	0	10699.7
671.995867615	2494.3	0	10263.9
676.498672517	2497.5	0	10263.9
681.119467083	2499.2	0	10263.9
685.824508142	2473.1	0	11289.7
690.140817147	2457.1	0	10268.4
694.376058727	2457.8	0	10268.4
698.829295701	2438.5	0	11135.4
702.709627141	2425.2	0	10979.7
706.797788342	2419.3	0	10268.4
710.725428919	2407.9	0	11904.0
714.361687793	2377.4	0	10358.0
717.706849939	2355.4	0	10357.9
720.946456500	2337.7	0	11651.6
723.913224953	2317.1	0	10550.1
726.763044917	2299.6	0	11466.8
729.351066927	2280.9	0	13841.9
731.649564904	2270.9	0	12392.6
733.684832481	2260.9	0	13769.0
735.493318994	2255.1	0	10507.2
737.058836661	2231.6	0	16269.8
738.647415993	2233.0	0	11390.8
740.297407349	2233.1	0	10357.8
741.869682041	2233.1	0	6938.6
743.136409528	1889.7	0	2771.8
744.306961476	1730.0	0	1983.9
