elapsed_s	persistent_mb	temp_mb
.061120507	0	0
2.132354485	159.9	0
4.201113131	326.2	0
6.271050034	491.6	0
8.333016601	655.8	0
10.396724367	789.1	0
12.466027311	789.1	0
14.531054612	789.1	0
16.593342305	2866.7	0
18.654292030	4933.9	0
20.717246957	6511.8	0
22.780060048	8082.2	0
24.845378930	10086.9	0
26.904282849	12199.1	0
28.973425925	13866.6	0
31.041916365	15387.3	0
33.106865574	17354.5	0
35.170836702	19439.8	0
37.232836659	21527.7	0
39.307793903	23578.6	0
41.375705464	25264.9	0
43.442410138	27080.0	0
45.508092930	28744.7	0
47.568980110	30831.4	0
49.639045967	32901.0	0
51.715460599	33979.7	0
53.781491266	34196.8	0
55.858553375	34357.4	0
57.925977512	34524.1	0
59.991702655	34690.3	0
62.048429028	34844.4	0
64.113956503	34844.4	0
66.174093575	34844.4	0
68.242395826	35797.5	0
70.305866186	37219.7	0
72.368970188	38723.6	0
74.441289278	40605.7	0
76.505866123	41703.6	0
78.568711695	43492.5	0
80.639469191	45165.1	0
82.699878804	46460.7	0
84.763333683	48318.8	0
86.826238850	50232.8	0
88.886702561	51508.2	0
90.948656108	53139.1	0
93.014470356	55046.7	0
95.077978440	56980.0	0
97.139949965	58073.8	0
99.198643938	59834.6	0
101.265048864	61520.7	0
103.331202224	62756.2	0
105.395931738	64695.1	0
107.458806606	65758.0	0
117.405690893	65758.0	9221.8
127.373800141	65758.0	5567.7
136.509181473	65758.0	3063.9
146.258661050	65758.0	2843.3
155.927846790	65758.0	2856.8
165.981048072	65758.0	2880.0
175.931427391	65758.0	2888.0
185.917524349	65758.0	2903.2
194.392121829	65758.0	2923.9
203.804463030	65758.0	2950.0
212.419158102	65758.0	2950.0
220.854643855	65758.0	2950.0
229.923739106	65758.0	2950.0
238.691168230	65758.0	2950.1
247.940487082	65758.0	2949.1
257.725327101	65758.0	2844.9
266.850576078	65758.0	2801.4
276.096236123	65758.0	2763.0
285.528709421	65758.0	2736.1
294.787436580	65758.0	2715.1
303.768802940	65758.0	2598.3
313.105322248	65758.0	2585.4
321.869145861	65758.0	2505.4
330.373118853	65758.0	2439.9
338.818221606	65758.0	2352.1
346.600371210	65758.0	2278.2
353.986893112	65758.0	2203.9
360.946737638	65758.0	2116.6
367.113545916	65758.0	2040.8
373.456344168	65758.0	1987.0
379.274634550	65758.0	1240.7
385.024406962	65758.0	921.5
391.081976531	65758.0	883.3
396.753912101	65758.0	896.4
402.370219386	65758.0	906.7
408.087079243	65758.0	919.4
413.831265631	65758.0	897.7
419.680809812	65758.0	867.0
425.448938248	65758.0	869.7
431.364953361	65758.0	879.4
437.258771869	65758.0	892.4
443.167131325	65758.0	894.3
449.092980120	65758.0	896.2
454.847341103	65758.0	900.6
460.706147955	65758.0	909.9
466.263441225	65758.0	927.6
471.474666516	65758.0	935.2
477.025831086	65758.0	943.1
482.738642658	65758.0	964.1
488.299079799	65758.0	946.9
494.030165399	65758.0	947.1
499.681799075	65758.0	947.1
505.370688366	65758.0	947.4
510.975940034	65758.0	949.1
516.622192916	65758.0	950.9
522.201790527	65758.0	941.0
527.131514219	65758.0	920.2
532.511212106	65758.0	921.1
538.055621998	65758.0	924.2
543.549804005	65758.0	926.2
548.813602040	65758.0	889.8
554.063263471	65758.0	883.9
559.286401485	65758.0	878.5
564.234669463	65758.0	853.2
569.157849085	65758.0	845.7
573.709024941	65758.0	822.9
577.995004527	65758.0	790.8
582.039139846	65758.0	769.5
585.857308549	65758.0	741.1
589.408556530	65758.0	716.7
592.596751297	65758.0	699.3
595.441165676	65758.0	687.5
597.945077642	65758.0	658.2
600.483278450	65758.0	659.8
603.072748683	65758.0	659.9
605.273348129	65758.0	398.7
607.341213803	58352.4	0
609.411149032	41794.9	0
611.490821347	23876.2	0
613.559712329	5553.0	0
