elapsed_s	persistent_mb	temp_mb
.055445550	0	0
2.122595709	160.6	0
4.189296261	328.0	0
6.255950674	491.1	0
8.322198512	653.8	0
10.379387022	789.1	0
12.437696236	789.1	0
14.510824294	789.1	0
16.569277677	2866.7	0
18.635447160	4933.9	0
20.700421534	6559.9	0
22.762955706	8109.6	0
24.818850368	10086.9	0
26.879939112	12199.1	0
28.943979256	13854.5	0
31.007527066	15392.7	0
33.069449211	17354.5	0
35.129784340	19439.8	0
37.195430225	21527.7	0
39.270553723	23578.6	0
41.338952591	25224.4	0
43.397958170	26880.9	0
45.457935973	28744.7	0
47.521817865	30831.4	0
49.591214177	32793.8	0
51.658940924	33851.8	0
53.727834130	34188.0	0
55.795553591	34347.7	0
57.863511874	34512.7	0
59.942146563	34677.9	0
62.003625491	34844.4	0
64.065220909	34844.4	0
66.125198896	34844.4	0
68.191814543	35797.5	0
70.255077646	37083.0	0
72.322357593	38723.6	0
74.390018026	40605.7	0
76.453449140	41610.9	0
78.516262981	43492.5	0
80.583104076	45169.2	0
82.643716175	46431.6	0
84.704987726	48318.8	0
86.777919752	50232.8	0
88.844391189	51728.3	0
90.907764989	53192.9	0
92.968646423	55046.7	0
95.033299817	56980.0	0
97.097138887	58883.8	0
99.156029297	59855.4	0
101.223448294	61767.5	0
103.291667388	63597.3	0
105.359484604	64695.1	0
115.839003214	65758.0	10675.5
125.825240286	19850.6	9843.6
135.688993542	1573.2	4818.8
145.257738390	1573.2	2954.1
154.993571060	1573.2	2844.8
164.851401003	1573.2	2863.4
175.113972614	1573.2	2882.3
185.281975868	1573.2	2890.5
195.152600988	1573.2	2910.3
204.101859877	1573.2	2936.5
213.496083279	1573.2	2950.0
222.799542719	1573.2	2950.0
232.063358329	1573.2	2950.0
241.229025294	1573.2	2950.0
250.421678306	1573.2	2955.4
260.017697121	1573.2	2871.3
269.706325530	1573.2	2844.9
278.562865668	1573.2	2759.4
288.461624649	1573.2	2765.3
297.293931636	1573.2	2708.7
306.561915828	1573.2	2681.4
315.371010308	1573.2	2582.3
324.389756656	1573.2	2555.8
333.210591548	1573.2	2486.6
341.661149760	1573.2	2385.1
349.994031857	1573.2	2323.8
357.691865001	1573.2	2236.6
365.082498894	1573.2	2157.7
371.670380429	1573.2	2079.6
378.054466642	1573.2	2030.0
383.690239206	1573.2	1343.2
389.464069868	1573.2	1024.3
395.240713708	1573.2	880.3
400.865390712	1573.2	891.9
406.418600680	1573.2	901.4
411.986490423	1573.2	911.5
417.858810659	1573.2	922.8
423.643659732	1573.2	867.0
429.518367388	1573.2	867.0
435.427979594	1573.2	874.5
440.435324110	1573.2	891.1
446.364643926	1573.2	892.9
452.196403264	1573.2	894.8
457.875679327	1573.2	896.7
463.839452515	1573.2	903.9
469.656252413	1573.2	913.2
474.751520638	1573.2	930.2
479.761086926	1573.2	938.0
485.398893142	1573.2	945.5
490.905966006	1573.2	950.0
496.551641189	1573.2	947.1
502.186941399	1573.2	947.1
507.799775441	1573.2	947.1
513.481960594	1573.2	947.9
519.077058512	1573.2	949.6
524.742023519	1573.2	951.3
530.152426488	1573.2	926.7
535.624892663	1573.2	920.2
541.076211840	1573.2	921.1
546.642515229	1573.2	924.9
552.042733508	1573.2	917.1
557.187547719	1573.2	882.8
562.448221081	1573.2	884.5
567.352250224	1573.2	862.3
572.271456707	1573.2	849.0
577.087087539	1573.2	842.9
581.492360792	1573.2	814.8
585.656522134	1573.2	782.2
589.691629397	1573.2	760.4
593.522566851	1573.2	737.1
596.938999152	1573.2	708.8
600.014105349	1573.2	695.7
602.768063747	1573.2	684.8
605.347598647	1573.2	658.7
607.906479326	1573.2	659.8
610.347273918	1573.2	649.4
612.420441022	1573.2	0
