elapsed_s	persistent_mb	temp_mb
.055561146	0	0
2.120144403	159.8	0
4.193035504	324.4	0
6.262486828	487.0	0
8.328372053	649.0	0
10.387841788	789.1	0
12.448392562	789.1	0
14.514418646	789.1	0
16.573850207	789.1	0
18.641995428	789.1	0
20.705750807	789.1	0
22.771394590	789.1	0
24.830252317	789.1	0
26.888920251	789.1	0
28.954399981	789.1	0
31.033819008	789.1	0
33.111324441	789.1	0
35.180983018	789.1	0
37.249979914	917.1	0
39.321735161	1077.8	0
41.389607287	1238.6	0
43.460157114	1403.0	0
45.529998998	1568.0	0
47.591811926	1701.2	0
49.653552584	1701.2	0
51.713967670	1701.2	0
53.783244880	1701.2	0
55.853681803	1701.2	0
57.921820966	1701.2	0
59.987322993	1701.2	0
62.059108007	1701.2	0
64.122025621	1701.2	0
66.183822788	1701.2	0
68.245172118	1701.2	0
70.305771078	1701.2	0
72.367196567	1701.2	0
74.438528070	1701.2	0
76.501897100	1701.2	0
86.431471676	1829.2	0
96.305113784	3629.8	209.9
106.200148881	1829.2	923.4
116.045267343	5265.8	1732.8
126.043419496	3650.9	2020.1
135.838078858	1829.2	2799.4
145.635747079	4419.7	3477.7
155.585132743	3613.6	3743.0
165.346422987	1829.2	4628.0
175.086843133	3673.7	5214.1
185.100501375	3610.8	5565.0
195.005750739	1829.2	6491.9
205.027013661	3636.2	7014.5
214.916054424	3636.5	7425.3
224.825618072	1829.2	8360.7
234.486646082	3638.7	8866.9
244.168722251	3236.4	9304.5
253.977759832	1829.2	10233.3
263.853887320	3621.9	10677.0
273.697867794	2698.5	11160.6
283.449556277	4443.3	12092.1
293.354982081	3597.2	12412.2
303.230044324	1889.5	13004.4
313.210468536	5327.4	13854.3
323.219791716	3618.4	13938.2
333.295600272	1573.2	6480.8
343.476716693	1573.2	3584.1
353.150736167	1573.2	2842.7
363.031579293	1573.2	2851.5
372.893148977	1573.2	2877.7
382.705791071	1573.2	2885.5
392.357850998	1573.2	2896.0
401.717543679	1573.2	2915.8
411.378746103	1573.2	2950.0
421.145327729	1573.2	2950.0
430.931575055	1573.2	2950.0
440.727992166	1573.2	2950.0
450.498623896	1573.2	2951.1
460.296982195	1573.2	2917.8
470.138950306	1573.2	2844.9
479.317315397	1573.2	2776.2
488.986879457	1573.2	2764.1
498.233028428	1573.2	2714.9
507.594350749	1573.2	2708.7
516.595488151	1573.2	2582.3
526.035081024	1573.2	2572.3
534.555134534	1573.2	2496.5
543.311453158	1573.2	2412.2
551.648751687	1573.2	2341.0
559.781598931	1573.2	2250.4
567.283786680	1573.2	2171.7
574.211102580	1573.2	2087.8
580.442946078	1573.2	2030.0
586.549707840	1573.2	1553.2
592.638409860	1573.2	1054.9
598.596969151	1573.2	880.0
604.642436850	1573.2	886.7
610.238517006	1573.2	900.6
615.677333784	1573.2	910.5
621.408230107	1573.2	922.1
627.256789057	1573.2	872.9
633.152793134	1573.2	867.0
639.046855980	1573.2	873.2
644.944313152	1573.2	883.0
650.829484640	1573.2	893.0
656.732694893	1573.2	894.9
662.612814212	1573.2	896.7
668.540622421	1573.2	904.0
674.436217670	1573.2	913.4
680.336682105	1573.2	930.6
686.135286758	1573.2	939.8
692.021302372	1573.2	947.7
697.679568188	1573.2	946.9
703.174258043	1573.2	947.1
708.708850470	1573.2	947.1
714.561833653	1573.2	947.1
720.157334210	1573.2	948.6
725.616457491	1573.2	950.3
731.083794652	1573.2	952.0
736.430009773	1573.2	919.7
741.996599164	1573.2	921.1
747.550089079	1573.2	923.8
752.981289109	1573.2	925.7
758.457243117	1573.2	895.1
763.775826827	1573.2	883.9
769.000136292	1573.2	879.3
773.616496622	1573.2	855.1
778.415084172	1573.2	846.0
783.154532797	1573.2	834.6
787.610089888	1573.2	800.4
791.876096158	1573.2	776.8
795.850133409	1573.2	749.2
799.609516274	1573.2	726.3
802.983179401	1573.2	703.3
806.008190115	1573.2	690.6
808.631947835	1573.2	671.7
811.127143547	1573.2	659.5
813.711350208	1573.2	659.8
815.917373459	1573.2	301.4
